as_rank,asn,as_name,is_cloud,instance_count
5647,6128,CABLE-NET-1,0,1
5651,55392,MF-NATIVE6-W,0,3
5657,21928,T-MOBILE-AS21928,0,1
5664,14061,DIGITALOCEAN-ASN,1,493
5665,7418,,0,1
5666,5378,,0,1
5669,9365,iTSCOM,0,1
5694,46606,UNIFIEDLAYER-AS-1,0,1
5710,51167,CONTABO,0,128
5728,15435,KABELFOON,0,1
5738,12683,STATEL-AS,0,1
5769,20412,CLARITY-TELECOM,0,1
5795,8462,TARR1,0,1
5801,29182,RU-JSCIOT,0,1
5814,715,WOODYNET-2,0,5
5838,51164,KNOWIT-FI,0,1
5871,24679,SSERV-AS,0,1
5875,21409,IKOULA,0,1
5942,16125,CHERRYSERVERS1-AS,0,1
5961,198930,DE-VSM-ASN,0,1
5966,25560,RHTEC-AS,0,2
5992,15366,DNSNET,0,1
6028,7489,HOSTUS-GLOBAL-AS,0,1
6030,33247,COASTAL-BGP,0,1
6050,16353,Merula,0,1
6082,25151,CYSO-AS,0,1
6087,64249,ENDOFFICE,0,1
6161,12597,GOTANET,0,1
6191,3213,BOGONS-ASN,0,2
6198,29008,NIEDERMAYR,0,2
6237,201290,BlackGATE,0,1
6317,15401,EOLAS-AS,0,2
6326,52423,,0,3
6419,49375,AS-NOONEINTERNET,0,1
6431,39798,MivoCloud,0,1
6446,197731,TUXIS,0,1
6452,212219,HostingDunyam,0,1
6487,131447,POP-IDC-TH,0,1
6496,207992,feelb,0,1
6499,131149,YUANJHEN-AS-TW,0,1
6502,34225,SpeedPartner,0,1
6512,44141,DEVCLIC-AS,0,1
6753,60670,WideFM-LTD,0,1
7044,211567,Bitwise,0,1
7133,206236,DEFAULTGATEWAY-SOUTH,0,2
7300,34182,RACKBLACK,0,1
7329,200533,INITLAB,0,1
7379,212068,ALIOTH,0,1
7397,207960,AS-TRANSRIGHTS,0,2
7419,19527,GOOGLE-2,1,1
7437,45102,ALIBABA-CN-NET,0,6
7439,16591,GOOGLE-FIBER,1,9
7444,37002,Reunicable,0,2
7468,18126,CTC,0,1
7489,231,MISU-231,0,1
7516,37611,Afrihost,0,5
7536,57269,DIGISPAINTELECOM,0,2
7547,393249,UBC,0,1
7567,12824,HOMEPL-AS,0,1
7582,6724,STRATO,0,16
7625,55293,A2HOSTING,0,1
7626,53755,IOFLOOD,0,1
7634,33885,OWNIT,0,2
7642,210644,AEZA-AS,0,1
7651,53745,NORDKLETT-NET,0,1
7708,207592,GOENET,0,1
7720,6364,ATLANTIC-NET-1,0,1
7755,57353,VITROCONNECT-AS,0,1
7759,15640,FPIC-AS,0,1
7764,204274,AURA-A-S,0,1
7778,20135,MTL-19,0,1
7831,22191,WILKES-COMM,0,1
7845,212655,youfibre,0,1
7847,18278,CC9,0,1
7885,9335,cat-Cloud-AP,0,1
7966,21554,CYBERLYNK,0,1
8016,27823,,0,3
8029,398143,TRUESTREAM,0,1
8042,206170,Inleed,0,2
8055,44709,CLOUDWEBMANAGE-IL,0,1
8060,48282,VDSINA-AS,0,1
8078,34120,VT-ASN,0,1
8116,8916,PORTFAST,0,1
8118,328411,Gulfsat-Madagascar-AS,0,1
8148,50613,ThorDC-AS,0,1
8193,9008,ASN-VO,0,2
8291,11402,CCCAS-1,0,2
8292,204094,I4W,0,1
8343,12488,KRYSTAL,0,2
8350,39287,abstract,0,3
8378,396097,SAIL-INET,0,1
8387,17185,D102-PHL-1,0,1
8400,56055,MLS-NC,0,1
8406,30221,T3COM,0,1
8448,7247,MOJO,0,1
8451,399244,BLOOM-HOST,0,1
8480,22438,CLEAR-RATE-COMMUNICATIONS,0,1
8579,30264,COLUMBIAPWS,0,1
8605,212865,NETCONNECT,0,1
8703,40156,THEOPT-HOU,0,1
8743,393436,SLVREC,0,1
8881,395719,EMERALD,0,1
8909,47172,Greenhost,0,1
8966,203380,DAInternationalGroup,0,1
8994,19337,MOBIUSPARTNERS,0,1
9009,28855,OCTOPUCE-AS,0,5
9018,13135,CREW-AS,0,1
9100,41000,Freethought-AS,0,1
9117,6140,TWO-P,0,1
9200,30455,HOSTVENOM-LLC,0,2
9352,60131,HIGH5-NL,0,1
9541,56430,CHROOT,0,1
9558,397097,IMA-MODERN-AS,0,1
9599,49485,HAHOSTING,0,1
9646,206216,ADVIN-AS,0,1
9787,57707,GREENDATA,0,1
9914,39837,MUR,0,1
10372,57433,INTERCOLO-AS,0,1
10397,59891,FSIT,0,1
10402,47536,PathConnect,0,1
10570,49585,COREROUTE-AS,0,1
10590,8646,cloudinfrastack,0,1
11004,57758,CBWS-AS,0,1
11016,197477,NERDSCAVE,0,1
11274,140885,FADEDSERVERS1-AS-AP,0,2
11305,205684,Algathia,0,1
11726,400655,NIXLABS,0,1
11862,206813,AS4830org,0,2
11866,204059,NEUTRINET,0,1
12029,202585,bgp-rodeo,0,1
12067,200162,ILOTH,0,1
12230,396982,GOOGLE-CLOUD-PLATFORM,1,51
12233,37963,ALIBABA-CN-NET,0,4
12235,45090,TENCENT-NET-AP,0,1
12238,47331,TTNET,0,1
12245,24560,AIRTELBROADBAND-AS-AP,0,1
12254,6871,Plusnet,0,1
12259,9316,DACOM-PUBNETPLUS-AS-KR,0,1
12272,4685,ASAHI-NET,0,4
12277,9617,ZAQ,0,1
12281,63949,AKAMAI-LINODE-AP,0,295
12283,46690,SNET-FCC,0,1
12334,47583,AS-HOSTINGER,0,28
12340,206067,H3GUK,0,1
12346,19165,WEBPASS,0,1
12349,12876,AS12876,0,66
12352,398101,GO-DADDY-COM-LLC,0,1
